"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","所有信用卡/威士卡、万事达卡、AMEX、JCB、大莱卡（由Moneybookers技术支持）- 国际"
"CartaSi (powered by Moneybookers) - Italy","CartaSi（由Moneybookers技术支持）- 意大利"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue（由Moneybookers技术支持）- 法国"
"Customer ID","客户ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort（由Moneybookers技术支持）- 丹麦"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung（由Moneybookers技术支持）- 奥地利"
"Enabled","已启用"
"Find out more about Online Bank Transfer","了解更多有关网上银行汇款"
"Giropay (powered by Moneybookers) - Germany","Giropay（由Moneybookers技术支持）- 德国"
"Laser (powered by Moneybookers) - Ireland","Laser（由Moneybookers技术支持）- 爱尔兰"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift（ELV）（由Moneybookers技术支持）- 德国 "
"Loading secure payment page (SSL)","正在加载安全支付页面（SSL）"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro（由Moneybookers技术支持）- 英国、奥地利、西班牙"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers设置"
"Moneybookers Transaction ID: %s","Moneybookers交易号：%s"
"Moneybookers eWallet","Moneybookers电子钱包"
"More information about Moneybookers","有关Moneybookers的更多信息"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo（由Moneybookers技术支持）- 芬兰"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo（由Moneybookers技术支持）- 瑞典 "
"Online Bank Transfer (powered by Moneybookers)","网上银行汇款（由Moneybookers技术支持）"
"Order ID","订单 ID"
"POLi (powered by Moneybookers) - Australia","POLi（由Moneybookers技术支持）- 澳大利亚"
"Payment failed.","支付失败。"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Payment has not been processed yet.","付款尚未被处理。"
"Payment was canceled.","支付已被取消。"
"Pending bank transfer created.","待定银行汇款已创建。"
"Please pay your order now","现在请支付您的订购。"
"Postepay (powered by Moneybookers) - Italy","Postepay（由Moneybookers技术支持）- 意大利"
"Powered by Moneybookers","由Moneybookers技术支持"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24（由Moneybookers技术支持）- 波兰"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung（由Moneybookers技术支持）- 德国"
"Sort Order","排序顺序"
"The amount has been authorized and captured by Moneybookers.","Moneybookers已认可并捕获该数额。"
"The customer was redirected to Moneybookers.","该顾客被转向到Moneybookers。"
"The order has been canceled.","该订购已被取消。"
"Title","标题"
"You will be redirected to our secure payment page when you place an order.","当您订购时，你将被转到我们的安全支付页面。"
"eNETS (powered by Moneybookers) - Singapore","eNETS（由Moneybookers技术支持）- 新加坡"
"iDeal (powered by Moneybookers) - Netherlands","iDeal（由Moneybookers技术支持）- 荷兰"
